nome,quantidade
"""FRUITTELLA LIFE MORANGO 189G/MENT"",",1
"""FUCSIA FEM 3+003MG 21CPR(DROSP+ETINIL)"",",1
"""G* IPRATROPIO 0250MG/ML 20ML"",",1
"""G. APIXABANA 2",1
"""G. NARATRIPTANA 2",1
"""G.CABERGOLINA 0",1
"""G.CARVEDILOL 3125MG C/30 COMP"",",1
"""G.CLOR OXIMETAZ S N 0",1
"""GEL UREADIN PODOS OIL 8025G"",",1
"""GEN ACICLOVIR 30MG/G POM OFT BG 4",1
"""GEN DESLORATADINA 0",1
"""GEN. VENLAFAXINA 37",1
"""GESICO DUO 37",1
"""GESTODENO 0075MG + ETINILESTRADIOL 0,03MG X 21 COM REV (GEN""",1
"""GESTODENO 0075MG + ETINILESTRADIOL 0,03MG X 21 COM REV"",",1
"""GFA TERMOL.LUMINA 18L 9750"",",1
"""GLAMIGAN MT 03+5MG/ML C/3ML"",",1
"""GLUCOVANCE 500/2",1
"""GOND FIT 40 PONTA 137X0,55 - 04 BAND 3025 BR""",1
"""GRAMPO ISOLADO 25 A 4,0MM C 30 IPCL"",",1
"""GUTTALAX 75 MG/ML 30 ML-REFERENCIA"",",1
"""GÉSICO DUO 37",1
"""H2OH LIMAO C/GAS PET 1",1
"""HALDOL DECANOATO 70",1
"""HEDERA CIMED 70 MG/ML SOL OR FR 100 ML"",",1
"""HEM BISOPROLOL 2",1
"""HEPA MERZ 0",1
"""HIDRALI PO 4ENV. C/2898G FRAMBOESA"",",1
"""HIDRALI PO 4ENV. C/2898G GUARANA"",",1
"""HIDRALI PO 4ENV. C/2898G LARANJA"",",1
"""HIDROTEN PO NATURAL 279G C/4 ENVELOPES"",",1
"""HILUROPT 1",1
"""HILUROPT MAX 02% SOL OFT 10ML"",",1
"""HOLMES H 20MG+12",1
"""HOLMES H 40MG+12",1
"""HORA H 1",1
"""HYZAAR 5012",1
"""IMOVANE 7",1
"""INDAPAMIDA 1",1
"""INDAPAMIDA LP 1",1
"""INDAPEN SR 1",1
"""INDATRAT SR 1",1
"""INSULINA NOVOLIN N REF 5 X 30ML-OUTROS"",",1
"""IPRATROPIO 025MG/ML GTS FR 20ML NEO QUIMICA"",",1
"""IRBESARTAN HCT 150/125 30CP EUR"",",1
"""IRBESARTAN HCT 300/125 30CP EUR"",",1
"""ISACARE PROTETOR LABIAL FPS 15 3",1
"""ISACARE PROTETOR LABIAL FRUTIS AMORA FPS 15 3",1
"""ISACARE PROTETOR LABIAL FRUTIS UVA VERDE FPS 15 3",1
"""ISDIN FOTO FUSION GEL F50 89",1
"""ISOBLEND BAUNILHA 18 KG REFIL"",",1
"""IUMI 3+002MG 72CPR"",",1
"""IUMI ES 3MG+002MG C 90 COMP REV"",",1
"""IVAHART 7",1
"""IZIZ 2",1
"""JARDIANCE DUO 12",1
"""KOLLAGENASE 0",1
"""KTRIZ 0",1
"""KTRIZ UNO 0",1
"""LASTACAFT 025% 3ML"",",1
"""LATANOPROSTA 005MGML SOL 2,5ML EMS (GELADEIRA)"",",1
"""LATANOPROSTA SOL OFTA FR 25 ML GEOLAB (G)"",",1
"""LATANOPROSTA+ MAL TIMO GER 2",1
"""LATONAN 50MCG/ML COL 2",1
"""LAVITAN MELATONINA 021MG C/150 CAPS MORANGO""",1
"""LAVITAN MELATONINA 021MG C/150 MARARACUJA"",",1
"""LAVITAN MELATONINA 021MG CP PT 90 MAR"",",1
"""LEFOR 2",1
"""LEG 0",1
"""LEINERT VIVACOR BRANCO NEVE 3",1
"""LETROZOL 2",1
"""LEVONORGESTREL 1",1
"""LIBIAM 125MG 28CPR"",",1
"""LIBIAM 125MG C/84 COMPRIMIDO"",",1
"""LIBIAM 2",1
"""LINADIB DUO 2",1
"""LIROMAG 50+28MG SCH 30X1G""",1
"""LISTERINE ZERO 1",1
"""LOCAO HIDRAT INFAN. BEBE VIDA PRIMEIROS MESES 1X200ML""",1
"""LOCERYL 5% ESMALTE 2",1
"""LOL 3470-01 KIT MAM TIP 24080,50 R AZUL"",",1
"""LOL 3470-01 KIT MAM TIP 24080,50 ROSA"",",1
"""LOSARTANA POT+HCTZ 50+12",1
"""LOSARTANA POTAS+HCT 5012",1
"""LOTAR 2",1
"""LUMIGAN 003% COLIRIO 3ML"",",1
"""LUMIGAN 003% COLIRIO 5ML"",",1
"""MAL DEXCLO+BETAM 04+0,05MG XPE120ML/NOQ""",1
"""MANTEIGA CACAU C/PROPOLIS 3",1
"""MANTEIGA DE CACAU 3",1
"""MANTEIGA DE CACAU BATON 3",1
"""MAO FRANCESA CANTONEIRA 30X15CM 5 8X18 BRANCA"",",1
"""MAO FRANCESA CANTONEIRA 35X18CM 5 8X18 BRANCA"",",1
"""MAREVAN 7",1
"""MASS TITAN.17500 24KG REFIL ZERO LAC.CH""",1
"""MASS TITANIUM 17500 14KG REFIL BAUNILHA",1
"""MASS TITANIUM 17500 14KG REFIL CHOCOLAT",1
"""MAXIFLOX D POMADA OFTALMICA 35G""",1
"""MAXIFLOX POMADA OFTALMICA 35G""",1
"""MAXILERG 01% COL 5ML-REFERENCIA"",",1
"""MAXINOM POMADA 3",1
"""MELOCOX 15MG INJ 15ML C/5 AMPOLAS""",1
"""MELOXICAM INJ 1",1
"""MELOXICAM INJ 15ML C/5 AMPOLA"",",1
"""MENOPRIN 0",1
"""MENTOS GOMA 3+ AZUL 15X8",1
"""MENTOS GOMA 3+ PRETO 15X8",1
"""MENTOS GOMA 3+ VERDE 15X8",1
"""MICARDIS HCT 40/12",1
"""MICARDIS HCT 80 12",1
"""MINERGI 0",1
"""MINERGI 0375MG C/ 30CPR"",",1
"""MINERGI 15 MG C/ 30 CPR"",",1
"""MIRANOVA 010MG+0,02MG CX 21 DRG"",",1
"""MOLIERI 20 3+002MG 30CPR SN""",1
"""MOLIERI 30 3+003MG 63CPR-SIMILAR""",1
"""MOMENT 0025% LC ROLL-ON 60ML"",",1
"""MOMETASONA 01% CREME 20G GERMED""",1
"""N VIGORA PLUS MELATONINA 021MG/GOTA SOL / NEU MELATONINA /",1
"""NAPRIX 2",1
"""NAPRIX A 2",1
"""NAPRIX D 5/12",1
"""NARAMIG 2",1
"""NARANETY 2",1
"""NARATANO 2",1
"""NARATRIN 2",1
"""NARATRIPTANA 2",1
"""NARATRIPTANA NOVAQ 2",1
"""NARIDRIN JET AEROSOL 09MG/ML 100ML EMS"",",1
"""NASALIV 40+1+04MG SOL ORAL FR 60ML"",",1
"""NASOAR 09% FR C 15 ENV"",",1
"""NASOAR XT 09% FR APLIC C/15ENV",1
"""NASOAR XT 09% REFIL C/15 ENV"",",1
"""NATRILIX SR 1",1
"""NAZZO XT PO SOL 15ENV C/624G"",",1
"""NEO PREMIUM SOLUCAO FISIOLOG 09% 500ML"",",1
"""NEODIA 15MG 1CPR""",1
"""NEOSORO FLUID 09% 30 SACHES"",",1
"""NEOVLAR 025+0,05 MG C/63 CPR"",",1
"""NESINA MET 12",1
"""NEVRALPRO 11",1
"""NITRATO DE FENTICONAZOL 002G CREM VAG BG 40G+7APLIC EUROFAR"",",1
"""NOVANLO 2",1
"""NOVANLO 25MG 60CPR""",1
"""NOVOTRAM PAR 37",1
"""NOXX 40MG/04ML 2 SERINGAS - ENOXAPARINA"",",1
"""NOXX 40MG/04ML SOL INJ 10SER (ENOXAPARINA SODICA)"",",1
"""NOXX 60MG/0",1
"""OCTIFEN 025MGML COL 5ML"",",1
"""OESTROGEL PUMP 0",1
"""OGESTAN BLUES 14G C/30CAPS"",",1
"""OGESTAN PRE 12G C/30 CAPS-DEMAIS PROD"",",1
"""OGESTAN PRE 12G C/90 CAPS"",",1
"""OLANZAPINA 2",1
"""OLMERSART+HCT 20/12",1
"""OLMERSART+HCT 40/12",1
"""OLMERSARTANA+HIDROCL 40/125 MG 30CP GERMED"",",1
"""OLMESA+HIDROCLO 20/125 MG 30CP GERMED"",",1
"""OLMESART+HCT 40/12",1
"""OLMY HCT 40+12",1
"""OLSAR H 20+12",1
"""OLSAR H 40+12",1
"""ONUA 0075MG C 28 COMP REV"",",1
"""ONUA 0075MG C 84 COMP REV"",",1
"""OZEMPIC 025MG 0,5MG + 6 AG 4MM"",",1
"""PARATRAM 37",1
"""PARTIU CHIPS DE FRUTA DE ABACAXI LIOFILIZADA20 GR ORGANZ"",",1
"""PARTIU CHIPS DE FRUTA DE BANANA LIOFILIZADA20 GR ORGANZA""",1
"""PARTIU CHIPS DE FRUTA DE COCO LIOFOLIZADO20 GR ORGANZA""",1
"""PARTIU CHIPS DE FRUTA DE MANGA LIOFILIZADA20 GR ORGANZA"",",1
"""PASTA AMENDOIM POWER ONE CROCAN. 1005KG"",",1
"""PASTA AMENDOIM POWER ONE TRAD. 1005KG"",",1
"""PATANOL S OFT 2",1
"""PAXIL CR 12",1
"""PEG-LAX 8",1
"""PEROSTEO 250MG +2",1
"""PERSUR 2",1
"""PICBAM 2",1
"""PICOPREP 10 MG 2 SACHES 35 GR T FER"",",1
"""PISA 0375MG 30 CP LIB PROL"",",1
"""PISO ASPHALT PLUS ACT RET 61X61 V2 CX 223"",",1
"""PLANTABEN 3",1
"""POLAPIC DEXCLOF 04 MGML 120 ML XPE EMS"",",1
"""POLICLAVUMOXIL BD 80+114 MG/ML PÓ SUS 70ML EMS"",",1
"""POLYDRAT PO 50 ENV 279GR NATURAL"",",1
"""POMADA MASS CART TUBARAO OMEG 3",1
"""PONDERA XR 12",1
"""POSLOV 1",1
"""PRAMIPEXOL DICLOR 1",1
"""PRESSAT 2",1
"""PREVYASM 3MG+003MG 21 CPR"",",1
"""PROBIATOP DA+ C/30 SACH 0",1
"""PROCORALAN 7",1
"""PROPIONATO DE CLOBETASOL 0",1
"""PROT LAB CEREJA SHINE MINNIE 48""",1
"""PROT LAB LIP CARE AMORA 48G"",",1
"""PROT LAB ORIGINAL FROZEN 48G"",",1
"""PROT LAB PEROLA PRINCESS 48G"",",1
"""PROT LAB SROSE MARGARIDA 48G"",",1
"""PROT LABIAL INCOLOR OLAF 48G"",",1
"""PROT LABIAL MELANC RAPUNZEL 48G"",",1
"""PROT LABIAL NIVEA ESFOLIANTE ROSA MOSQUETA 1X48GR""",1
"""PROT LABIAL PESSEGO MOANA 48G"",",1
"""PROTETOR LAB LIP CARE MELAN 48G"",",1
"""PROTETOR LAB NIVEA FPS 30 SUN 48G"",",1
"""PROTETOR LAB NIVEA MORANGO 48G""",1
"""PROTETOR LABIAL FPS 15 45 GR MENTA"",",1
"""PROTETOR LABIAL GIOVANNA BABY BL LIP BALM CHERRY 1X3",1
"""PROTETOR LABIAL LABY ESSENCIAL 45 GR"",",1
"""PROTETOR LABIAL LABY FPS 15 MENTA 1X4",1
"""PROTETOR LABIAL LABY FPS 50 SPORT 45 GR"",",1
"""PROTETOR LABIAL LABY HIDRAT FPS15 1X3",1
"""PROTETOR LABIAL LABY MORANGO SENSACAO FPS 15 1X4",1
"""PROTETOR LABIAL NIVEA ESFOLIANTE ALOE VERA 1X48GR""",1
"""PROTETOR LABIAL NIVEA LIP CARE CEREJA SHINE 1X48GR""",1
"""PROTETOR LABIAL NIVEA LIP CARE COLOR NUDE 1X48GR""",1
"""PROTETOR LABIAL NIVEA LIP CARE COLOR ROSA PINK 1X48GR""",1
"""PROTETOR LABIAL NIVEA LIP CARE COLOR VERMELHO 1X48GR""",1
"""PROTETOR LABIAL NIVEA LIP CARE COLOR VIOLETA 1X48GR""",1
"""PROTETOR LABIAL VULT BALM AMORA 1X3",1
"""PROTETOR LABIAL VULT BALM MELANCIA 1X3",1
"""PROTETOR LABIAL VULT BALM MENTA 1X3",1
"""PROTETOR LABIAL VULT BALM MORANGO 1X3",1
"""PROTETOR LABIAL VULT BALM SOLEIL 1X3",1
"""PULMICORT SUSP NEB 025MG C/5 FLACONETES"",",1
"""PURAN T4 62",1
"""RAPILAX 7",1
"""RARIVIT ZINCO 29",1
"""REGENCEL POM OF 35GR",1
"""RELAXSYM MELATON 0210MG 120CPR DI(MELAT",1
"""RELESTAT 005% COLIRIO 5ML""",1
"""REPELENTE EXPOSIS CASA LIQUIDO REFIL 45N +AP ELETRICO 1X329"",",1
"""REPELENTE RAID FAMILY LIQUIDO REFIL 45NOIT C/2UN PROM 2X329"",",1
"""REPOSIT UNHAS E CUTICULAS ESMALTE 7",1
"""RESICOLOR REMOTIN REMOVEDOR PASTOSO 3",1
"""REVANGE 37",1
"""REVERT 50+12",1
"""RINOSOFT BABY 09 100ML"",",1
"""RINOSORO 09% SIC SPRAY 50ML"",",1
"""RINOSORO JET 09% SPRAY NASAL FR 100ML"",",1
"""RINOSORO JET XT 09% C/100ML-OUTROS"",",1
